gender,style,topwear,bottomwear,outerwear,shoes,jewellery,bag,watch,hairstyle,makeup,fragrance,fabric_type,layering_advice
Female,Minimal Chic,Structured white blouse or satin camisole,High-waisted tailored trousers or midi skirt,Lightweight beige trench coat,Pointed nude heels or sleek loafers,Delicate gold studs and thin chain necklace,Structured leather tote in neutral tone,Slim minimalist leather-strap watch,Sleek low bun or straight open hair,Dewy base with nude lips and soft contour,Clean fresh floral or powdery musk,"Linen, cotton blends, satin, lightweight wool",Keep layers monochrome and structured with subtle contrast
Female,Urban Street,Oversized graphic tee or cropped hoodie,Distressed jeans or cargo pants,Bomber jacket or oversized denim jacket,Chunky sneakers or high-top sneakers,Chunky hoops or layered chains,Crossbody sling bag or mini backpack,Digital or chunky metal watch,Messy waves or high ponytail,Glossy lips with bold eyeliner,Woody spicy or edgy unisex scent,"Denim, jersey, fleece, leather accents",Mix oversized silhouettes with statement outerwear
Female,Royal Ethnic,Heavily embroidered blouse or silk kurti,Silk lehenga or brocade sharara,Embellished dupatta or silk shawl,Embroidered juttis or embellished heels,Statement kundan or polki jewellery set,Embellished potli bag or silk clutch,Ornate gold bracelet watch,Classic bun adorned with flowers,Bold lips with kohl-lined eyes and highlighter,Rich oriental oud or royal amber fragrance,"Silk, brocade, velvet, chiffon",Layer dupatta gracefully with rich textures for depth
Female,Smart Casual,Crisp button-down shirt or smart polo,Slim-fit chinos or ankle-length trousers,Casual blazer or knit cardigan,Leather loafers or clean white sneakers,Minimal studs or simple bracelet,Medium-sized structured handbag,Classic analog watch with metal strap,Soft curls or side-parted hair,Natural makeup with peach tones,Fresh citrus or aquatic fragrance,"Cotton twill, knit blends, lightweight denim",Layer blazer over basics for effortless polish
Female,Corporate Sharp,Tailored formal shirt or silk blouse,Pencil skirt or sharp tailored trousers,Structured power blazer,Closed-toe pumps or oxford shoes,Pearl studs or subtle diamond pieces,Large structured office tote,Premium stainless steel watch,Neat bun or sleek straight hair,Matte foundation with neutral lipstick,Elegant woody or musky fragrance,"Wool blends, crepe, structured cotton",Stick to structured layers in neutral palettes
Female,Glam Diva,Sequin top or satin corset blouse,Bodycon skirt or tailored wide-leg pants,Faux fur coat or embellished cape,Stiletto heels,Statement chandelier earrings and stacked bangles,Sparkling clutch,Crystal-studded luxury watch,Voluminous curls or sleek high ponytail,Smokey eyes with bold red lips and glow,Bold oriental floral or vanilla-based scent,"Silk, satin, sequins, velvet",Layer textures boldly with dramatic outerwear
Female,Sporty Edge,Breathable athletic tee or cropped sweatshirt,Joggers or biker shorts,Lightweight zip-up hoodie,Running shoes or sporty sneakers,Simple studs or silicone wristband,Compact gym backpack,Smart fitness watch,High ponytail or braided pony,Tinted moisturizer with lip balm,Fresh sporty citrus fragrance,"Performance polyester, spandex, mesh",Layer lightweight activewear pieces for flexibility
Female,Indo-Fusion,Printed crop top or fusion kurti,Dhoti pants or palazzo trousers,Long ethnic jacket or cape,Kolhapuri sandals or block heels,Oxidized silver jewellery or layered necklaces,Boho sling bag,Vintage-style metal watch,Half-up half-down or loose braid,Soft glam with earthy tones,Woody floral or spicy floral scent,"Cotton silk, handloom fabrics, jacquard",Blend ethnic jacket over modern silhouettes
Female,Vintage Classic,Lace blouse or polka dot shirt,A-line skirt or high-waist trousers,Tailored wool coat or cardigan,Kitten heels or vintage loafers,Pearl necklace or antique brooch,Structured top-handle handbag,Classic round-dial watch,Soft retro waves or side curls,Winged eyeliner with rosy cheeks,Powdery floral or classic rose scent,"Tweed, lace, chiffon, wool blends",Layer with classic cuts and timeless patterns
Female,Modern Trendsetter,Asymmetrical top or statement shirt,Leather pants or trendy flared jeans,Statement blazer or oversized shacket,Platform heels or designer sneakers,Layered mixed-metal jewellery,Trendy micro bag,Smart hybrid smartwatch,Sleek straight hair or edgy bob,Glass skin makeup with bold accent color,Unisex woody citrus or niche fragrance,"Leather, organza, structured cotton, blends",Experiment with bold layers and unexpected textures
Male,Minimal Chic,Structured white blouse or satin camisole,High-waisted tailored trousers or midi skirt,Lightweight beige trench coat,Pointed nude heels or sleek loafers,Minimal or none,Structured leather tote in neutral tone,Slim minimalist leather-strap watch,Short styled hair,No makeup,Clean fresh floral or powdery musk,"Linen, cotton blends, satin, lightweight wool",Keep layers monochrome and structured with subtle contrast
Male,Urban Street,Oversized graphic tee or cropped hoodie,Distressed jeans or cargo pants,Bomber jacket or oversized denim jacket,Chunky sneakers or high-top sneakers,Minimal or none,Crossbody sling bag or mini backpack,Digital or chunky metal watch,Short styled hair,No makeup,Woody spicy or edgy unisex scent,"Denim, jersey, fleece, leather accents",Mix oversized silhouettes with statement outerwear
Male,Royal Ethnic,Heavily embroidered blouse or silk kurti,Silk lehenga or brocade sharara,Embellished dupatta or silk shawl,Embroidered juttis or embellished heels,Minimal or none,Embellished potli bag or silk clutch,Ornate gold bracelet watch,Short styled hair,No makeup,Rich oriental oud or royal amber fragrance,"Silk, brocade, velvet, chiffon",Layer dupatta gracefully with rich textures for depth
Male,Smart Casual,Crisp button-down shirt or smart polo,Slim-fit chinos or ankle-length trousers,Casual blazer or knit cardigan,Leather loafers or clean white sneakers,Minimal or none,Medium-sized structured handbag,Classic analog watch with metal strap,Short styled hair,No makeup,Fresh citrus or aquatic fragrance,"Cotton twill, knit blends, lightweight denim",Layer blazer over basics for effortless polish
Male,Corporate Sharp,Tailored formal shirt or silk blouse,Pencil skirt or sharp tailored trousers,Structured power blazer,Closed-toe pumps or oxford shoes,Minimal or none,Large structured office tote,Premium stainless steel watch,Short styled hair,No makeup,Elegant woody or musky fragrance,"Wool blends, crepe, structured cotton",Stick to structured layers in neutral palettes
Male,Glam Diva,Sequin top or satin corset blouse,Bodycon skirt or tailored wide-leg pants,Faux fur coat or embellished cape,Stiletto heels,Minimal or none,Sparkling clutch,Crystal-studded luxury watch,Short styled hair,No makeup,Bold oriental floral or vanilla-based scent,"Silk, satin, sequins, velvet",Layer textures boldly with dramatic outerwear
Male,Sporty Edge,Breathable athletic tee or cropped sweatshirt,Joggers or biker shorts,Lightweight zip-up hoodie,Running shoes or sporty sneakers,Minimal or none,Compact gym backpack,Smart fitness watch,Short styled hair,No makeup,Fresh sporty citrus fragrance,"Performance polyester, spandex, mesh",Layer lightweight activewear pieces for flexibility
Male,Indo-Fusion,Printed crop top or fusion kurti,Dhoti pants or palazzo trousers,Long ethnic jacket or cape,Kolhapuri sandals or block heels,Minimal or none,Boho sling bag,Vintage-style metal watch,Short styled hair,No makeup,Woody floral or spicy floral scent,"Cotton silk, handloom fabrics, jacquard",Blend ethnic jacket over modern silhouettes
Male,Vintage Classic,Lace blouse or polka dot shirt,A-line skirt or high-waist trousers,Tailored wool coat or cardigan,Kitten heels or vintage loafers,Minimal or none,Structured top-handle handbag,Classic round-dial watch,Short styled hair,No makeup,Powdery floral or classic rose scent,"Tweed, lace, chiffon, wool blends",Layer with classic cuts and timeless patterns
Male,Modern Trendsetter,Asymmetrical top or statement shirt,Leather pants or trendy flared jeans,Statement blazer or oversized shacket,Platform heels or designer sneakers,Minimal or none,Trendy micro bag,Smart hybrid smartwatch,Short styled hair,No makeup,Unisex woody citrus or niche fragrance,"Leather, organza, structured cotton, blends",Experiment with bold layers and unexpected textures
