gender,age,profession,body_type,skin_tone,height_category,personality,occasion,season,budget,color_preference,sustainability_preference,trend_interest,target_style
Female,49,Freelancer,Slim,Wheatish,Medium,Energetic,Gym,Summer,18430,Dark,0,Low,Sporty Edge
Male,28,Lawyer,Slim,Wheatish,Medium,Energetic,Gym,Summer,21062,Dark,1,Low,Sporty Edge
Male,59,Entrepreneur,Slim,Wheatish,Short,Energetic,Gym,Summer,20314,Bright,0,Low,Sporty Edge
Male,34,Engineer,Curvy,Fair,Tall,Energetic,Gym,Summer,17359,Dark,1,Low,Sporty Edge
Male,44,Engineer,Athletic,Dark,Short,Energetic,Casual,Summer,13765,Dark,1,Low,Sporty Edge
Male,19,Designer,Curvy,Wheatish,Tall,Energetic,Gym,Summer,24771,Bright,0,Low,Sporty Edge
Female,60,Engineer,Slim,Medium,Tall,Energetic,Casual,Summer,21430,Dark,0,Medium,Sporty Edge
Female,40,Doctor,Curvy,Wheatish,Medium,Energetic,Gym,Summer,14641,Dark,1,Low,Sporty Edge
Male,18,Doctor,Slim,Medium,Tall,Energetic,Casual,Summer,15935,Bright,0,Medium,Sporty Edge
Female,34,Entrepreneur,Average,Dark,Tall,Energetic,Gym,Summer,19045,Dark,0,Medium,Sporty Edge
Female,34,Manager,Average,Medium,Tall,Energetic,Gym,Summer,17317,Bright,0,Low,Sporty Edge
Female,39,Student,Athletic,Medium,Tall,Energetic,Gym,Summer,17727,Dark,0,Low,Sporty Edge
Female,32,Lawyer,Slim,Fair,Tall,Energetic,Casual,Summer,21658,Bright,0,High,Sporty Edge
Female,46,Student,Athletic,Dark,Short,Energetic,Gym,Summer,21043,Bright,1,Low,Sporty Edge
Male,28,Doctor,Average,Medium,Medium,Energetic,Casual,Summer,18482,Bright,0,Low,Sporty Edge
Female,53,Lawyer,Average,Dark,Short,Energetic,Casual,Summer,19419,Bright,1,Low,Sporty Edge
Female,50,Doctor,Slim,Dark,Medium,Energetic,Casual,Summer,21373,Dark,1,High,Sporty Edge
Female,33,Lawyer,Curvy,Medium,Tall,Creative,Casual,Autumn,28448,Bright,1,High,Indo-Fusion
Male,32,Lawyer,Curvy,Dark,Tall,Creative,Casual,Autumn,29413,Bright,1,High,Indo-Fusion
Female,22,Engineer,Curvy,Dark,Medium,Creative,Casual,Autumn,26231,Pastel,0,Low,Indo-Fusion
Male,34,Designer,Athletic,Wheatish,Short,Trendy,Festival,Autumn,23928,Bright,1,High,Indo-Fusion
Male,52,Student,Curvy,Dark,Tall,Trendy,Casual,Spring,29002,Pastel,0,High,Indo-Fusion
Female,43,Designer,Athletic,Fair,Tall,Trendy,Casual,Spring,21067,Pastel,1,High,Indo-Fusion
Male,47,Doctor,Curvy,Dark,Tall,Creative,Festival,Spring,26905,Pastel,0,Medium,Indo-Fusion
Female,57,Manager,Athletic,Dark,Short,Trendy,Casual,Spring,31242,Pastel,0,Medium,Indo-Fusion
Female,31,Entrepreneur,Average,Dark,Medium,Trendy,Casual,Autumn,38723,Bright,0,Low,Indo-Fusion
Female,33,Entrepreneur,Curvy,Wheatish,Short,Creative,Casual,Autumn,25787,Pastel,1,Low,Indo-Fusion
Female,49,Manager,Average,Fair,Medium,Creative,Festival,Autumn,27060,Pastel,1,High,Indo-Fusion
Male,46,Lawyer,Average,Dark,Medium,Trendy,Casual,Autumn,33492,Bright,1,High,Indo-Fusion
Male,54,Engineer,Average,Dark,Medium,Trendy,Casual,Autumn,32486,Pastel,1,High,Indo-Fusion
Male,28,Lawyer,Curvy,Medium,Short,Creative,Festival,Winter,27478,Pastel,1,High,Indo-Fusion
Female,35,Entrepreneur,Average,Medium,Medium,Trendy,Casual,Autumn,26025,Bright,0,High,Indo-Fusion
Male,60,Manager,Slim,Wheatish,Short,Trendy,Festival,Autumn,22090,Pastel,0,Low,Indo-Fusion
Female,51,Doctor,Slim,Dark,Tall,Creative,Festival,Spring,32774,Pastel,0,Low,Indo-Fusion
Female,46,Engineer,Athletic,Wheatish,Short,Creative,Casual,Winter,35602,Pastel,1,High,Indo-Fusion
Female,26,Engineer,Curvy,Medium,Tall,Trendy,Casual,Winter,37683,Bright,0,Medium,Indo-Fusion
Female,41,Entrepreneur,Average,Wheatish,Medium,Creative,Festival,Spring,24466,Pastel,1,Medium,Indo-Fusion
Male,49,Freelancer,Average,Fair,Medium,Trendy,Festival,Autumn,37963,Pastel,0,Medium,Indo-Fusion
Female,43,Designer,Athletic,Medium,Medium,Creative,Casual,Autumn,33835,Bright,1,Medium,Indo-Fusion
Female,44,Designer,Slim,Wheatish,Short,Trendy,Festival,Spring,34920,Pastel,1,High,Indo-Fusion
Female,30,Lawyer,Slim,Wheatish,Short,Creative,Festival,Autumn,29244,Pastel,0,High,Indo-Fusion
Female,18,Designer,Slim,Wheatish,Short,Trendy,Festival,Winter,33770,Pastel,1,Medium,Indo-Fusion
Female,20,Lawyer,Slim,Wheatish,Short,Trendy,Casual,Autumn,37799,Pastel,0,Low,Indo-Fusion
Female,42,Student,Slim,Wheatish,Medium,Trendy,Festival,Spring,21098,Bright,1,High,Indo-Fusion
Male,51,Designer,Curvy,Medium,Tall,Trendy,Casual,Autumn,21382,Bright,1,Medium,Indo-Fusion
Female,30,Lawyer,Slim,Wheatish,Short,Creative,Casual,Winter,20493,Bright,1,High,Indo-Fusion
Male,43,Designer,Slim,Fair,Tall,Trendy,Festival,Winter,22932,Bright,0,Medium,Indo-Fusion
Male,57,Lawyer,Slim,Fair,Medium,Creative,Festival,Autumn,35985,Bright,1,High,Indo-Fusion
Female,46,Designer,Slim,Medium,Medium,Creative,Casual,Autumn,35902,Pastel,1,High,Indo-Fusion
Female,30,Engineer,Average,Dark,Tall,Trendy,Casual,Spring,38170,Bright,0,High,Indo-Fusion
Male,46,Manager,Average,Dark,Medium,Creative,Casual,Spring,26079,Bright,1,High,Indo-Fusion
Male,38,Doctor,Curvy,Wheatish,Tall,Trendy,Festival,Spring,29277,Pastel,1,High,Indo-Fusion
Female,25,Doctor,Slim,Fair,Short,Creative,Festival,Autumn,23507,Pastel,0,Low,Indo-Fusion
Male,54,Entrepreneur,Curvy,Dark,Short,Trendy,Festival,Spring,22322,Bright,0,High,Indo-Fusion
Female,23,Freelancer,Slim,Dark,Tall,Trendy,Casual,Spring,21910,Pastel,0,High,Indo-Fusion
Male,37,Doctor,Athletic,Fair,Short,Creative,Casual,Autumn,26328,Bright,0,High,Indo-Fusion
Female,24,Lawyer,Curvy,Medium,Short,Creative,Festival,Spring,33158,Pastel,0,High,Indo-Fusion
Female,40,Lawyer,Average,Dark,Medium,Trendy,Casual,Spring,27887,Bright,1,High,Indo-Fusion
Female,41,Freelancer,Curvy,Medium,Short,Creative,Casual,Spring,20534,Bright,1,Low,Indo-Fusion
Female,32,Designer,Average,Fair,Tall,Trendy,Festival,Autumn,21236,Pastel,1,Low,Indo-Fusion
Male,34,Lawyer,Athletic,Wheatish,Medium,Trendy,Festival,Spring,33100,Bright,0,High,Indo-Fusion
Female,48,Engineer,Curvy,Fair,Tall,Trendy,Festival,Spring,38883,Pastel,0,Low,Indo-Fusion
Female,40,Entrepreneur,Curvy,Fair,Short,Creative,Casual,Autumn,29987,Bright,1,High,Indo-Fusion
Male,38,Designer,Athletic,Fair,Tall,Trendy,Casual,Spring,38849,Bright,0,Medium,Indo-Fusion
Female,43,Engineer,Athletic,Dark,Short,Trendy,Festival,Spring,33080,Pastel,0,Medium,Indo-Fusion
Female,26,Engineer,Curvy,Wheatish,Medium,Trendy,Festival,Spring,37178,Bright,0,Low,Indo-Fusion
Female,45,Lawyer,Slim,Fair,Tall,Trendy,Casual,Winter,31413,Bright,1,Medium,Indo-Fusion
Male,37,Engineer,Average,Medium,Tall,Calm,Cultural Event,Autumn,38404,Neutral,0,High,Vintage Classic
Female,27,Doctor,Slim,Fair,Short,Calm,Cultural Event,Autumn,30624,Neutral,1,Medium,Vintage Classic
Female,19,Lawyer,Athletic,Wheatish,Short,Calm,Cultural Event,Autumn,36388,Neutral,1,High,Vintage Classic
Male,34,Engineer,Slim,Dark,Short,Calm,Brunch,Winter,35727,Neutral,0,Medium,Vintage Classic
Female,60,Lawyer,Slim,Fair,Medium,Calm,Brunch,Winter,33331,Neutral,1,Medium,Vintage Classic
Male,29,Designer,Curvy,Fair,Short,Calm,Cultural Event,Winter,33027,Pastel,0,Low,Vintage Classic
Female,40,Lawyer,Average,Wheatish,Tall,Calm,Brunch,Winter,39396,Pastel,0,High,Vintage Classic
Female,32,Engineer,Average,Medium,Tall,Calm,Brunch,Winter,33531,Neutral,1,Low,Vintage Classic
Male,45,Manager,Average,Medium,Tall,Calm,Brunch,Autumn,34519,Neutral,0,Medium,Vintage Classic
Male,45,Engineer,Athletic,Dark,Short,Calm,Brunch,Winter,38754,Neutral,0,Medium,Vintage Classic
Female,44,Manager,Curvy,Dark,Short,Calm,Brunch,Autumn,28026,Neutral,1,High,Vintage Classic
Male,56,Designer,Athletic,Fair,Medium,Calm,Cultural Event,Autumn,33230,Pastel,1,Low,Vintage Classic
Female,49,Freelancer,Athletic,Wheatish,Short,Calm,Brunch,Winter,37526,Neutral,1,Medium,Vintage Classic
Male,60,Designer,Athletic,Fair,Short,Calm,Cultural Event,Winter,39201,Pastel,0,Medium,Vintage Classic
Female,20,Entrepreneur,Average,Medium,Tall,Calm,Brunch,Winter,32485,Neutral,0,High,Vintage Classic
Female,20,Entrepreneur,Slim,Wheatish,Medium,Calm,Cultural Event,Winter,37675,Pastel,1,Low,Vintage Classic
Female,36,Student,Athletic,Medium,Tall,Calm,Brunch,Autumn,27945,Neutral,1,Medium,Vintage Classic
Female,46,Student,Athletic,Medium,Tall,Calm,Cultural Event,Autumn,29097,Pastel,0,High,Vintage Classic
Male,23,Doctor,Curvy,Dark,Short,Calm,Brunch,Winter,34016,Pastel,0,Low,Vintage Classic
Female,54,Engineer,Athletic,Wheatish,Short,Calm,Cultural Event,Winter,30071,Pastel,1,High,Vintage Classic
Male,25,Engineer,Athletic,Fair,Tall,Calm,Brunch,Winter,33153,Pastel,0,High,Vintage Classic
Female,33,Designer,Curvy,Medium,Medium,Calm,Brunch,Autumn,29009,Pastel,0,Low,Vintage Classic
Male,27,Student,Average,Fair,Short,Calm,Cultural Event,Winter,26436,Neutral,0,Medium,Vintage Classic
Male,28,Manager,Athletic,Medium,Tall,Calm,Brunch,Autumn,37591,Pastel,1,Medium,Vintage Classic
Female,22,Entrepreneur,Slim,Dark,Medium,Calm,Brunch,Winter,30393,Pastel,0,High,Vintage Classic
Male,57,Student,Slim,Fair,Medium,Calm,Cultural Event,Winter,29254,Pastel,0,High,Vintage Classic
Female,51,Freelancer,Curvy,Wheatish,Tall,Calm,Cultural Event,Autumn,25025,Neutral,0,Medium,Vintage Classic
Male,31,Entrepreneur,Curvy,Fair,Medium,Calm,Brunch,Autumn,35495,Neutral,1,Medium,Vintage Classic
Male,37,Manager,Average,Fair,Short,Calm,Cultural Event,Winter,36868,Neutral,0,Low,Vintage Classic
Female,39,Freelancer,Curvy,Fair,Tall,Calm,Cultural Event,Autumn,35276,Pastel,1,Medium,Vintage Classic
Female,21,Manager,Average,Fair,Short,Calm,Cultural Event,Autumn,27446,Pastel,0,Medium,Vintage Classic
Female,58,Engineer,Curvy,Wheatish,Tall,Calm,Cultural Event,Winter,36630,Neutral,1,Medium,Vintage Classic
Male,49,Designer,Average,Medium,Medium,Calm,Cultural Event,Autumn,26838,Pastel,0,Low,Vintage Classic
Male,46,Student,Curvy,Wheatish,Short,Calm,Cultural Event,Winter,37706,Pastel,0,Low,Vintage Classic
Male,31,Student,Curvy,Medium,Tall,Calm,Brunch,Winter,25721,Neutral,1,Medium,Vintage Classic
Male,24,Manager,Slim,Dark,Tall,Calm,Cultural Event,Autumn,28154,Pastel,1,High,Vintage Classic
Female,46,Doctor,Average,Wheatish,Short,Calm,Brunch,Autumn,35206,Neutral,0,High,Vintage Classic
Female,53,Lawyer,Average,Wheatish,Tall,Calm,Brunch,Autumn,26167,Pastel,1,High,Vintage Classic
Female,21,Engineer,Slim,Medium,Tall,Calm,Brunch,Winter,25881,Neutral,1,Medium,Vintage Classic
Male,56,Freelancer,Average,Dark,Medium,Calm,Brunch,Winter,34302,Neutral,0,High,Vintage Classic
Female,24,Freelancer,Average,Medium,Medium,Calm,Brunch,Autumn,39108,Pastel,1,Medium,Vintage Classic
Male,60,Lawyer,Average,Medium,Medium,Calm,Brunch,Winter,26849,Pastel,1,Medium,Vintage Classic
Male,36,Lawyer,Athletic,Fair,Medium,Calm,Cultural Event,Autumn,37983,Pastel,1,Medium,Vintage Classic
Female,33,Designer,Athletic,Medium,Medium,Calm,Cultural Event,Autumn,38335,Pastel,1,High,Vintage Classic
Female,52,Designer,Athletic,Fair,Tall,Calm,Brunch,Winter,30330,Neutral,1,Low,Vintage Classic
Female,43,Doctor,Slim,Medium,Medium,Calm,Brunch,Autumn,28565,Neutral,0,Low,Vintage Classic
Male,46,Manager,Curvy,Medium,Short,Calm,Cultural Event,Winter,34343,Pastel,1,High,Vintage Classic
Female,23,Student,Curvy,Wheatish,Medium,Calm,Cultural Event,Autumn,25013,Pastel,0,Medium,Vintage Classic
Male,33,Entrepreneur,Curvy,Dark,Tall,Calm,Cultural Event,Winter,32130,Neutral,0,Medium,Vintage Classic
Male,30,Entrepreneur,Average,Medium,Short,Calm,Brunch,Autumn,25190,Neutral,0,Low,Vintage Classic
Female,60,Entrepreneur,Athletic,Fair,Short,Trendy,Social Event,Winter,35891,Dark,1,High,Modern Trendsetter
Female,42,Lawyer,Athletic,Wheatish,Medium,Trendy,Social Event,Summer,46440,Dark,1,High,Modern Trendsetter
Female,20,Student,Curvy,Dark,Short,Trendy,Party,Summer,47249,Dark,1,High,Modern Trendsetter
Male,51,Doctor,Athletic,Medium,Tall,Trendy,Social Event,Spring,41257,Bright,1,Medium,Modern Trendsetter
Female,54,Lawyer,Curvy,Dark,Medium,Trendy,Party,Spring,49583,Dark,1,Low,Modern Trendsetter
Female,55,Engineer,Slim,Dark,Tall,Trendy,Social Event,Winter,32703,Bright,0,Medium,Modern Trendsetter
Female,26,Manager,Average,Dark,Short,Trendy,Party,Summer,44635,Dark,0,Medium,Modern Trendsetter
Male,49,Engineer,Slim,Dark,Short,Trendy,Party,Winter,43531,Dark,0,High,Modern Trendsetter
Female,58,Engineer,Athletic,Dark,Short,Trendy,Party,Spring,35491,Dark,1,Medium,Modern Trendsetter
Female,48,Designer,Curvy,Medium,Medium,Trendy,Party,Winter,30388,Dark,1,Medium,Modern Trendsetter
Female,51,Student,Slim,Dark,Medium,Trendy,Social Event,Autumn,38751,Bright,1,High,Modern Trendsetter
Female,47,Designer,Athletic,Dark,Tall,Trendy,Social Event,Spring,30277,Bright,0,Medium,Modern Trendsetter
Male,51,Doctor,Curvy,Dark,Short,Trendy,Social Event,Summer,31115,Bright,0,Low,Modern Trendsetter
Male,56,Doctor,Slim,Fair,Tall,Trendy,Social Event,Summer,33632,Bright,1,Medium,Modern Trendsetter
Female,60,Doctor,Curvy,Dark,Medium,Trendy,Social Event,Summer,32424,Dark,0,Medium,Modern Trendsetter
Female,39,Student,Average,Dark,Short,Trendy,Party,Winter,36575,Dark,0,High,Modern Trendsetter
Female,24,Engineer,Curvy,Wheatish,Tall,Trendy,Social Event,Autumn,33384,Bright,0,Low,Modern Trendsetter
Female,46,Student,Curvy,Wheatish,Tall,Trendy,Party,Winter,38730,Bright,1,Medium,Modern Trendsetter
Male,50,Freelancer,Curvy,Medium,Medium,Trendy,Party,Spring,42596,Dark,0,High,Modern Trendsetter
Female,39,Manager,Curvy,Fair,Tall,Trendy,Social Event,Autumn,32636,Dark,1,High,Modern Trendsetter
Male,29,Student,Curvy,Wheatish,Medium,Trendy,Party,Autumn,45941,Bright,1,High,Modern Trendsetter
Male,26,Student,Athletic,Fair,Tall,Trendy,Social Event,Winter,32064,Dark,1,High,Modern Trendsetter
Female,19,Student,Average,Fair,Medium,Trendy,Social Event,Spring,36936,Dark,0,High,Modern Trendsetter
Male,22,Student,Athletic,Medium,Tall,Trendy,Social Event,Spring,37952,Bright,0,Low,Modern Trendsetter
Male,37,Doctor,Curvy,Wheatish,Tall,Trendy,Party,Spring,46290,Bright,0,Low,Modern Trendsetter
Female,39,Entrepreneur,Average,Fair,Tall,Trendy,Social Event,Summer,31493,Bright,1,Low,Modern Trendsetter
Male,35,Engineer,Curvy,Wheatish,Tall,Trendy,Party,Winter,37983,Bright,0,Low,Modern Trendsetter
Female,28,Student,Curvy,Fair,Short,Trendy,Party,Spring,49455,Dark,1,High,Modern Trendsetter
Female,26,Designer,Athletic,Dark,Tall,Trendy,Social Event,Summer,35719,Bright,0,High,Modern Trendsetter
Female,57,Doctor,Average,Dark,Medium,Trendy,Party,Summer,33850,Bright,1,High,Modern Trendsetter
Male,47,Designer,Average,Fair,Short,Trendy,Party,Winter,46302,Bright,0,High,Modern Trendsetter
Male,21,Lawyer,Average,Wheatish,Medium,Trendy,Social Event,Winter,31419,Bright,0,High,Modern Trendsetter
Male,28,Student,Curvy,Fair,Short,Trendy,Social Event,Autumn,43731,Bright,1,Low,Modern Trendsetter
Male,38,Designer,Slim,Wheatish,Tall,Trendy,Party,Winter,37230,Bright,1,High,Modern Trendsetter
Female,21,Entrepreneur,Athletic,Wheatish,Tall,Trendy,Party,Winter,42238,Bright,1,High,Modern Trendsetter
Male,58,Lawyer,Average,Wheatish,Medium,Trendy,Party,Spring,39194,Bright,0,Medium,Modern Trendsetter
Female,44,Engineer,Average,Wheatish,Medium,Trendy,Party,Summer,32833,Dark,1,Low,Modern Trendsetter
Female,47,Manager,Slim,Medium,Tall,Trendy,Party,Autumn,44229,Bright,0,High,Modern Trendsetter
Male,44,Student,Slim,Medium,Tall,Trendy,Social Event,Winter,45704,Bright,1,Medium,Modern Trendsetter
Male,23,Student,Curvy,Wheatish,Short,Trendy,Social Event,Summer,32973,Bright,1,High,Modern Trendsetter
Female,28,Freelancer,Slim,Medium,Medium,Trendy,Social Event,Summer,42137,Dark,0,High,Modern Trendsetter
Male,42,Lawyer,Slim,Dark,Medium,Trendy,Party,Spring,41000,Bright,1,Low,Modern Trendsetter
Male,42,Lawyer,Curvy,Fair,Medium,Trendy,Party,Spring,48374,Bright,0,Medium,Modern Trendsetter
Male,52,Doctor,Curvy,Wheatish,Tall,Trendy,Social Event,Autumn,38760,Dark,1,Low,Modern Trendsetter
Male,41,Lawyer,Curvy,Medium,Tall,Trendy,Social Event,Autumn,44810,Dark,0,Low,Modern Trendsetter
Female,23,Doctor,Curvy,Wheatish,Medium,Trendy,Party,Summer,39042,Bright,0,Medium,Modern Trendsetter
Male,31,Student,Average,Medium,Tall,Trendy,Social Event,Autumn,43766,Dark,0,Medium,Modern Trendsetter
Male,22,Student,Athletic,Dark,Medium,Trendy,Social Event,Winter,49443,Dark,1,Medium,Modern Trendsetter
Male,37,Engineer,Average,Wheatish,Medium,Trendy,Social Event,Spring,34860,Dark,1,Medium,Modern Trendsetter
Male,57,Engineer,Average,Wheatish,Short,Trendy,Party,Summer,33831,Bright,1,High,Modern Trendsetter
